values,DOTALL,IGNORECASE,keys
sentencing,n,n,([Ss]entencing [Gg]uidelines|U\.?S\.?S\.?G\.?|United States vs?\. Booker|543 U\.S\. 220|[Gg]uidelines range|[Ss]entencing [Cc]ommission)
death_penalty,n,n,(sentenced to death|death penalty|capital punishment)
crimmigration,n,n,((illegal|unlawful) reentry|unlawfully entering)
lenity,n,n,[Rr]ule of [Ll]enity
acca,n,n,Armed Career Criminal Act
child_porn,n,n,[Cc]hild [Pp]ornography
conspiracy,n,n,conspiracy to 
drugs,n,n,"(mari[jh]uana|cocaine|methamphetamine|heroin[ \.\,]|MDMA|narcotics|[Ll]ysergic [Aa]cid [Dd]iethylamide)"
sorna,n,n,(S\.?O\.?R\.?N\.?A\.?|Sex Offender Registration and Notification Act)
wire_fraud,n,n,(wire fraud|fraud by wire)
kidnapping,n,n,[Kk]idnapping
mann_act,n,n,Mann Act
tax_evasion,n,n,[Tt]ax [Ee]vasion
bank_robbery,n,n,[Bb]ank [Rr]obbery
fraud_us,n,n,[Ff]raud against the United States
robbery,n,n,[Rr]obbery
assault,n,n,[Aa]ssault
bank_fraud,n,n,[Bb]ank [Ff]raud
arson,n,n, [Aa]rson
bribery,n,n,[Bb]rib(e |ry)
child_support,n,n,[Ff]ailure to [Pp]ay (legal )?child( support)?
color_of_law,n,n,[Rr]ights under [Cc]olor of [Ll]aw
counterfeit,n,n,[Cc]ounterfeit
crim_contempt,n,n,[Cc]riminal [Cc]ontempt
forgery,n,n,[Ff]orgery
voter_intim,n,n,[Vv]oter [Ii]ntimidation
campaign,n,n,[Cc]ampaign [Ff]inance
gangs,n,n,[Cc]riminal [Ss]treet [Gg]ang
embezzlement,n,n,[Ee]mbezzlement
money_launder,n,n,[Mm]oney [Ll]aunder
escape,n,n,[Ee]scape and [Rr]escue
harboring,n,n,[Hh]arboring a [Ff]ugitive
classified,n,n,[Cc]lassified [Ii]nformation
chem_bio,n,n,([Cc]hemical|[Bb]iological) [Ww]eapon
nuclear,n,n,[Nn]uclear [Ww]eapon
extortion,n,n,[Ee]xtortion
kickbacks,n,n,[Kk]ickback
threats,n,n,[Cc]ommunication [Cc]ontaining any [Tt]hreat
impersonate,n,n,[Ff]alsely [Aa]ssumes
firearm,n,n,[Pp]ossession of (a )?[Ff]irearm
false_statements,n,n,[Ff]alse [Ss]tatements
perjury,n,n,[Pp]erjury
hacking,n,n,Computer Fraud (and|\&) Abuse Act
murder,n,n,[Mm]urder
manslaugther,n,n,[Mm]anslaughter
indian_country,n,n,Indian Country
gambling,n,n,[Ii]llegal [Gg]ambling
desertion,n,n,([Dd]esertion|[Aa]ttempt to [Dd]esert)
obscenity,n,n,[Oo]bscen(e|ity)
fetus_crime,n,n,([Pp]artial-[Bb]irth [Aa]bortion|[Pp]rotection of [Uu]nborn [Cc]hildren)
obst_just,n,n,[Oo]bstruction of 
passports,n,n,([Ff]alse [Uu]se|[Ff]orgery of [Pp]assport)
slavery,n,n,([Ss]lavery|[Pp]eonage|[Ii]nvoluntary [Ss]ervitude)
president_crime,n,n,[Tt]hreats against President
pub_land,n,n,[Ll]aws of [Ss]tates [Aa]dopted
rico,n,n,R\.?I\.?C\.?O\.?
riots,n,n,[Ii]ncite a [Rr]iot
sabotage,n,n,[Ss]abotage
child_sexual,n,n,[Ss]exual [Aa]buse of a [Mm]inor
destruct_ev,n,n,[Dd]estruction or [Rr]emoval of [Pp]roperty
stalking,n,n, [Ss]talking
rape,n,n,[Aa]ggravated [Ss]exual [Aa]buse
terrorism,n,n,[Tt]errorism
cigarette,n,n,[Cc]ontraband [Cc]igar
torture,n,n,[Cc]ommit [Tt]orture
treason,n,n, [Tt]reason
alcohol,n,n,[Dd]distilled [Ss]pirits
vehicles,n,n,([Vv]ehicle|[Aa]ir(plane|craft) theft)
harmless_error,n,n,(harmless error|error was (not)?harmless)
anders,n,n,(386 U\.S\. 738|Anders vs?\. California)
guilty_plea,n,n,(plea?d(ing|ed)? guilty|guilty plea|plea agreement)
