values,dotall,ignorecase,keys
sentencing,FALSE,FALSE,([Ss]entencing [Gg]uidelines|U\.?S\.?S\.?G\.?|United States vs?\. Booker|543 U\.S\. 220|[Gg]uidelines range|[Ss]entencing [Cc]ommission)
death_penalty,FALSE,FALSE,(sentenced to death|death penalty|capital punishment)
crimmigration,FALSE,FALSE,((illegal|unlawful) reentry|unlawfully entering)
lenity,FALSE,FALSE,[Rr]ule of [Ll]enity
acca,FALSE,FALSE,Armed Career Criminal Act
child_porn,FALSE,FALSE,[Cc]hild [Pp]ornography
conspiracy,FALSE,FALSE,conspiracy to 
drugs,FALSE,FALSE,"(mari[jh]uana|cocaine|methamphetamine|heroin[ \.\,]|MDMA|narcotics|[Ll]ysergic [Aa]cid [Dd]iethylamide)"
sorna,FALSE,FALSE,(S\.?O\.?R\.?N\.?A\.?|Sex Offender Registration and Notification Act)
wire_fraud,FALSE,FALSE,(wire fraud|fraud by wire)
kidnapping,FALSE,FALSE,[Kk]idnapping
mann_act,FALSE,FALSE,Mann Act
tax_evasion,FALSE,FALSE,[Tt]ax [Ee]vasion
bank_robbery,FALSE,FALSE,[Bb]ank [Rr]obbery
fraud_us,FALSE,FALSE,[Ff]raud against the United States
robbery,FALSE,FALSE,[Rr]obbery
assault,FALSE,FALSE,[Aa]ssault
bank_fraud,FALSE,FALSE,[Bb]ank [Ff]raud
arson,FALSE,FALSE, [Aa]rson
bribery,FALSE,FALSE,[Bb]rib(e |ry)
child_support,FALSE,FALSE,[Ff]ailure to [Pp]ay (legal )?child( support)?
color_of_law,FALSE,FALSE,[Rr]ights under [Cc]olor of [Ll]aw
counterfeit,FALSE,FALSE,[Cc]ounterfeit
crim_contempt,FALSE,FALSE,[Cc]riminal [Cc]ontempt
forgery,FALSE,FALSE,[Ff]orgery
voter_intim,FALSE,FALSE,[Vv]oter [Ii]ntimidation
campaign,FALSE,FALSE,[Cc]ampaign [Ff]inance
gangs,FALSE,FALSE,[Cc]riminal [Ss]treet [Gg]ang
embezzlement,FALSE,FALSE,[Ee]mbezzlement
money_launder,FALSE,FALSE,[Mm]oney [Ll]aunder
escape,FALSE,FALSE,[Ee]scape and [Rr]escue
harboring,FALSE,FALSE,[Hh]arboring a [Ff]ugitive
classified,FALSE,FALSE,[Cc]lassified [Ii]nformation
chem_bio,FALSE,FALSE,([Cc]hemical|[Bb]iological) [Ww]eapon
nuclear,FALSE,FALSE,[Nn]uclear [Ww]eapon
extortion,FALSE,FALSE,[Ee]xtortion
kickbacks,FALSE,FALSE,[Kk]ickback
threats,FALSE,FALSE,[Cc]ommunication [Cc]ontaining any [Tt]hreat
impersonate,FALSE,FALSE,[Ff]alsely [Aa]ssumes
firearm,FALSE,FALSE,[Pp]ossession of (a )?[Ff]irearm
false_statements,FALSE,FALSE,[Ff]alse [Ss]tatements
perjury,FALSE,FALSE,[Pp]erjury
hacking,FALSE,FALSE,Computer Fraud (and|\&) Abuse Act
murder,FALSE,FALSE,[Mm]urder
manslaugther,FALSE,FALSE,[Mm]anslaughter
indian_country,FALSE,FALSE,Indian Country
gambling,FALSE,FALSE,[Ii]llegal [Gg]ambling
desertion,FALSE,FALSE,([Dd]esertion|[Aa]ttempt to [Dd]esert)
obscenity,FALSE,FALSE,[Oo]bscen(e|ity)
fetus_crime,FALSE,FALSE,([Pp]artial-[Bb]irth [Aa]bortion|[Pp]rotection of [Uu]nborn [Cc]hildren)
obst_just,FALSE,FALSE,[Oo]bstruction of 
passports,FALSE,FALSE,([Ff]alse [Uu]se|[Ff]orgery of [Pp]assport)
slavery,FALSE,FALSE,([Ss]lavery|[Pp]eonage|[Ii]nvoluntary [Ss]ervitude)
president_crime,FALSE,FALSE,[Tt]hreats against President
pub_land,FALSE,FALSE,[Ll]aws of [Ss]tates [Aa]dopted
rico,FALSE,FALSE,R\.?I\.?C\.?O\.?
riots,FALSE,FALSE,[Ii]ncite a [Rr]iot
sabotage,FALSE,FALSE,[Ss]abotage
child_sexual,FALSE,FALSE,[Ss]exual [Aa]buse of a [Mm]inor
destruct_ev,FALSE,FALSE,[Dd]estruction or [Rr]emoval of [Pp]roperty
stalking,FALSE,FALSE, [Ss]talking
rape,FALSE,FALSE,[Aa]ggravated [Ss]exual [Aa]buse
terrorism,FALSE,FALSE,[Tt]errorism
cigarette,FALSE,FALSE,[Cc]ontraband [Cc]igar
torture,FALSE,FALSE,[Cc]ommit [Tt]orture
treason,FALSE,FALSE, [Tt]reason
alcohol,FALSE,FALSE,[Dd]distilled [Ss]pirits
vehicles,FALSE,FALSE,([Vv]ehicle|[Aa]ir(plane|craft) theft)
harmless_error,FALSE,FALSE,(harmless error|error was (not)?harmless)
anders,FALSE,FALSE,(386 U\.S\. 738|Anders vs?\. California)
guilty_plea,FALSE,FALSE,(plea?d(ing|ed)? guilty|guilty plea|plea agreement)
