values,dotall,ignorecase,keys
bad_faith,FALSE,FALSE,bad faith
fiduciary,FALSE,FALSE,fiduciary
bankruptcy,FALSE,FALSE,bankruptcy
forfeiture,FALSE,FALSE,civil forfeiture
foreclosure,FALSE,FALSE,foreclosure
lanham act,FALSE,FALSE,Lanham Act
medicaid,FALSE,FALSE,Medicaid
medicare,FALSE,FALSE,Medicare
hous_discrim,FALSE,FALSE,Fair Housing Act
plra,FALSE,FALSE,Prison Litigation Reform Act
vra,FALSE,FALSE,Voting Rights Act
veil_piercing,FALSE,FALSE,(pierce the corporate veil|pierce the veil)
twombly,FALSE,TRUE,(127 S\. ?Ct\. 1955|550 U\.S\. 544)
iqbal,FALSE,TRUE,(556Â U\.S\.Â 662|129 S\. ?Ct\. 1937)
habeas,FALSE,FALSE,habeas
asylum,FALSE,FALSE,asylum
titlevii,FALSE,FALSE,"Title VII(\.\, )"
titleix,FALSE,FALSE,Title IX
ada,FALSE,FALSE,Americans with Disabilities Act
adea,FALSE,FALSE,(Age Discrimination in Employment Act|ADEA)
patent,FALSE,FALSE,patent 
copyright,FALSE,FALSE,copyright
trademark,FALSE,FALSE,trademark
cercla,FALSE,FALSE,C\.?E\.?R\.?C\.?L\.?A\.?
caa,FALSE,FALSE,Clean Air Act
cwa,FALSE,FALSE,(Water Pollution Control Act|Clean Water Act)
tax,FALSE,FALSE,I(nternal|\.?)R(evenue|\.?)S(ervice|\.?)
antitrust,FALSE,FALSE,antitrust
labor,FALSE,FALSE,National Labor Relations
social_security,FALSE,FALSE,Social Security
sec1983,FALSE,FALSE,(section 1983|42 U\.?S\.?C\.? § 1983)
qual_imm,FALSE,FALSE,qualified immunity
abs_imm,FALSE,FALSE,absolute immunity
div_juris,FALSE,FALSE,diversity jurisdiction
fed_quest,FALSE,FALSE,federal question
foia,FALSE,FALSE,(F\.?O\.?I\.?A\.?|Freedom of Information Act)
civ_serv_act,FALSE,FALSE,Civil Service Reform Act
fed_employ_pay,FALSE,FALSE,Federal Employees Pay Act
fed_labor_rel,FALSE,FALSE,(F\.?L\.?R\.?A\.?|Federal Labor Relations)
workmen's compensation,FALSE,FALSE,([Ww]orkmen's [Cc]ompensation|[Ww]orkers' [Cc]ompensation)
